                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5265,                 3.4682,                 1.3605,                0.40014,                0.00819,                0.09612,                0.05691,                 1.4999,                 4.8709,                 1.4059,             0.00065455,             0.00065455,             0.00065455
                      2,                 1.5986,                 2.8529,                 1.3894,                0.43815,                0.51077,                0.36884,                0.19972,                  1.576,                 3.4857,                 1.4289,             0.00066721,             0.00066721,             0.00066721
